b,rank,sketch,p,cost,time,regex,gt
24,b,?,endwith(<c>): 76.94,76.94,0.046,.*([c]),false
100,b,?,timeout,999999.0,40,null,false
44,b,?,timeout,999999.0,40,null,false
89,b,?,"contain(concat(<let>,concat(<.>,<n>))): 230.06",230.06,17.162,.*(([a-zA-Z])(([.])([n]))).*,false
50,b,?,timeout,999999.0,40,null,false
8,b,?,timeout,999999.0,40,null,false
66,b,?,"repeat(notcc(<U>),11): 153.62",153.62,6.304,([^U]){11},false
84,b,?,timeout,999999.0,40,null,false
18,b,?,timeout,999999.0,40,null,false
75,b,?,"or(<num>,concat(<num>,endwith(<num1-9>))): 230.26",230.26,1.824,(([0-9])|(([0-9])(.*([1-9])))),false
22,b,?,timeout,999999.0,40,null,false
111,b,?,"concat(<let>,or(<.>,endwith(<a>))): 230.26",230.26,2.802,([a-zA-Z])((([.])|(.*([a])))),false
78,b,?,endwith(<5>): 76.94,76.94,0.047,.*([5]),false
108,b,?,"repeat(<num>,9): 76.62",76.62,0.047,([0-9]){9},false
49,b,?,timeout,999999.0,40,null,false
26,b,?,timeout,999999.0,40,null,false
36,b,?,contain(<2>): 76.98,76.98,0.063,.*([2]).*,false
98,b,?,timeout,999999.0,40,null,false
90,b,?,"repeatatleast(<num1-9>,1): 76.66",76.66,0.091,"([1-9]){1,}",false
122,b,?,"repeat(<low>,5): 76.62",76.62,0.055,([a-z]){5},false
43,b,?,endwith(<num1-9>): 76.94,76.94,0.033,.*([1-9]),false
35,b,?,"startwith(or(<M>,concat(<*>,<p>))): 230.22000000000003",230.22000000000003,6.095,((([M])|(([*])([p])))).*,false
28,b,?,"contain(concat(<_>,<.>)): 153.52",153.52,1.151,.*(([_])([.])).*,false
1,b,?,"repeatatleast(<low>,1): 76.66",76.66,0.092,"([a-z]){1,}",false
69,b,?,timeout,999999.0,40,null,false
12,b,?,timeout,999999.0,40,null,false
115,b,?,timeout,999999.0,40,null,false
81,b,?,"repeatrange(notcc(<f>),1,8): 153.7",153.7,5.316,"([^f]){1,8}",false
4,b,?,timeout,999999.0,40,null,false
3,b,?,"repeatatleast(notcc(<low>),12): 153.66",153.66,5.567,"([^a-z]){12,}",false
83,b,?,timeout,999999.0,40,null,false
95,b,?,"contain(concat(< >,concat(<num>,<num1-9>))): 230.06",230.06,6.39,.*(([ ])(([0-9])([1-9]))).*,false
15,b,?,timeout,999999.0,40,null,false
30,b,?,timeout,999999.0,40,null,false
93,b,?,"or(<num1-9>,endwith(concat(<+>,<num>))): 230.26",230.26,2.144,(([1-9])|(.*(([+])([0-9])))),false
55,b,?,timeout,999999.0,40,null,false
42,b,?,timeout,999999.0,40,null,false
118,b,?,"repeat(<num>,6): 76.62",76.62,0.05,([0-9]){6},true
51,b,?,"or(<num>,concat(<1>,endwith(<2>))): 230.26",230.26,14.942,(([0-9])|(([1])(.*([2])))),false
46,b,?,timeout,999999.0,40,null,false
112,b,?,startwith(<let>): 76.9,76.9,0.04,([a-zA-Z]).*,false
101,b,?,"repeat(notcc(<D>),4): 153.62",153.62,4.385,([^D]){4},false
41,b,?,endwith(<num>): 76.94,76.94,0.041,.*([0-9]),false
103,b,?,endwith(<num1-9>): 76.94,76.94,0.035,.*([1-9]),false
99,b,?,timeout,999999.0,40,null,false
63,b,?,"concat(<num>,endwith(<num>)): 153.48000000000002",153.48000000000002,0.188,([0-9])(.*([0-9])),false
77,b,?,"contain(or(<@>,<!>)): 153.76",153.76,3.721,.*((([@])|([!]))).*,false
2,b,?,"contain(concat(<let>,concat(< >,<low>))): 230.06",230.06,17.358,.*(([a-zA-Z])(([ ])([a-z]))).*,false
