b,rank,sketch,p,cost,time,regex,gt
56,b,?,contain(<N>): 76.98,76.98,0.051,.*([N]).*,false
91,b,?,timeout,999999.0,60,null,false
117,b,?,"contain(or(<?>,<c>)): 153.76",153.76,0.917,.*((([?])|([c]))).*,false
92,b,?,timeout,999999.0,60,null,false
57,b,?,timeout,999999.0,60,null,false
53,b,?,contain(<b>): 76.98,76.98,0.036,.*([b]).*,false
33,b,?,endwith(<cap>): 76.94,76.94,0.036,.*([A-Z]),false
70,b,?,"repeatatleast(notcc(<7>),1): 153.66",153.66,2.013,"([^7]){1,}",false
102,b,?,"repeatrange(notcc(<G>),1,2): 153.7",153.7,1.344,"([^G]){1,2}",false
40,b,?,endwith(<num1-9>): 76.94,76.94,0.037,.*([1-9]),false
74,b,?,timeout,999999.0,60,null,false
60,b,?,"repeatrange(notcc(<&>),5,25): 153.7",153.7,1.78,"([^&]){5,25}",false
68,b,?,timeout,999999.0,60,null,false
39,b,?,timeout,999999.0,60,null,false
126,b,?,"repeatatleast(notcc(<G>),1): 153.66",153.66,0.645,"([^G]){1,}",false
17,b,?,"concat(repeat(<num1-9>,3),startwith(<->)): 230.06",230.06,10.46,(([1-9]){3})(([-]).*),false
79,b,?,timeout,999999.0,60,null,false
80,b,?,"repeat(<num>,10): 76.62",76.62,0.042,([0-9]){10},false
71,b,?,timeout,999999.0,60,null,false
38,b,?,"concat(notcc(<1>),repeatatleast(<num>,1)): 230.2",230.2,15.111,"([^1])(([0-9]){1,})",false
97,b,?,"concat(<%>,endwith(<%>)): 153.48000000000002",153.48000000000002,0.173,([%])(.*([%])),true
20,b,?,timeout,999999.0,60,null,false
25,b,?,"contain(or(<s>,<A>)): 153.76",153.76,2.359,.*((([s])|([A]))).*,false
59,b,?,"contain(or(<_>,<2>)): 153.76",153.76,3.234,.*((([_])|([2]))).*,false
125,b,?,"contain(concat(<cap>,<low>)): 153.52",153.52,0.224,.*(([A-Z])([a-z])).*,true
76,b,?,"contain(concat(<let>,concat(<let>,<s>))): 230.06",230.06,11.997,.*(([a-zA-Z])(([a-zA-Z])([s]))).*,false
48,b,?,timeout,999999.0,60,null,false
52,b,?,timeout,999999.0,60,null,false
88,b,?,"or(<num1-9>,repeatrange(notcc(<.>),3,5)): 230.48000000000002",230.48000000000002,39.465,"(([1-9])|(([^.]){3,5}))",false
45,b,?,timeout,999999.0,60,null,false
106,b,?,"repeatrange(notcc(<B>),1,65): 153.7",153.7,4.537,"([^B]){1,65}",false
24,b,?,endwith(<c>): 76.94,76.94,0.047,.*([c]),false
100,b,?,timeout,999999.0,60,null,false
44,b,?,timeout,999999.0,60,null,false
89,b,?,"contain(concat(<let>,concat(<.>,<n>))): 230.06",230.06,10.937,.*(([a-zA-Z])(([.])([n]))).*,false
50,b,?,timeout,999999.0,60,null,false
8,b,?,timeout,999999.0,60,null,false
66,b,?,"repeat(notcc(<U>),11): 153.62",153.62,4.383,([^U]){11},false
84,b,?,timeout,999999.0,60,null,false
18,b,?,"or(repeat(<num>,10),repeat(<num>,7)): 230.02",230.02,53.294,((([0-9]){10})|(([0-9]){7})),true
75,b,?,"or(<num>,concat(<num>,endwith(<num1-9>))): 230.26",230.26,1.408,(([0-9])|(([0-9])(.*([1-9])))),false
22,b,?,timeout,999999.0,60,null,false
111,b,?,"concat(<let>,or(<.>,endwith(<a>))): 230.26",230.26,2.201,([a-zA-Z])((([.])|(.*([a])))),false
78,b,?,endwith(<5>): 76.94,76.94,0.049,.*([5]),false
108,b,?,timeout,999999.0,60,null,false
49,b,?,timeout,999999.0,60,null,false
26,b,?,timeout,999999.0,60,null,false
36,b,?,contain(<2>): 76.98,76.98,0.042,.*([2]).*,false
98,b,?,timeout,999999.0,60,null,false
90,b,?,"repeatatleast(<num1-9>,1): 76.66",76.66,0.076,"([1-9]){1,}",false
122,b,?,timeout,999999.0,60,null,false
43,b,?,endwith(<num1-9>): 76.94,76.94,0.037,.*([1-9]),false
35,b,?,"startwith(or(<M>,concat(<*>,<p>))): 230.22000000000003",230.22000000000003,4.056,((([M])|(([*])([p])))).*,false
28,b,?,"concat(<A>,contain(concat(<_>,<.>))): 230.06",230.06,13.625,([A])(.*(([_])([.])).*),false
1,b,?,"repeatatleast(<low>,1): 76.66",76.66,0.069,"([a-z]){1,}",false
69,b,?,timeout,999999.0,60,null,false
12,b,?,timeout,999999.0,60,null,false
115,b,?,timeout,999999.0,60,null,false
81,b,?,"repeatrange(notcc(<f>),1,8): 153.7",153.7,3.924,"([^f]){1,8}",false
4,b,?,timeout,999999.0,60,null,false
3,b,?,"repeatatleast(notcc(<low>),12): 153.66",153.66,3.657,"([^a-z]){12,}",false
83,b,?,timeout,999999.0,60,null,false
95,b,?,"contain(concat(< >,concat(<num>,<num1-9>))): 230.06",230.06,3.925,.*(([ ])(([0-9])([1-9]))).*,false
15,b,?,timeout,999999.0,60,null,false
30,b,?,timeout,999999.0,60,null,false
93,b,?,timeout,999999.0,60,null,false
55,b,?,timeout,999999.0,60,null,false
42,b,?,timeout,999999.0,60,null,false
118,b,?,"repeat(<num>,6): 76.62",76.62,0.04,([0-9]){6},true
51,b,?,"or(<num>,concat(<1>,endwith(<2>))): 230.26",230.26,9.504,(([0-9])|(([1])(.*([2])))),false
46,b,?,timeout,999999.0,60,null,false
112,b,?,timeout,999999.0,60,null,false
101,b,?,"repeat(notcc(<D>),4): 153.62",153.62,2.733,([^D]){4},false
41,b,?,endwith(<num>): 76.94,76.94,0.038,.*([0-9]),false
103,b,?,endwith(<num1-9>): 76.94,76.94,0.033,.*([1-9]),false
99,b,?,timeout,999999.0,60,null,false
63,b,?,timeout,999999.0,60,null,false
77,b,?,"contain(or(<@>,<!>)): 153.76",153.76,2.83,.*((([@])|([!]))).*,false
2,b,?,"contain(concat(<let>,concat(< >,<low>))): 230.06",230.06,10.752,.*(([a-zA-Z])(([ ])([a-z]))).*,false
